OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG,INSTID,INSTDT,UPDTID,UPDTDT
1045-307AA,1,1,1,1,MA-1045-307AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1045-432AA,1,1,1,1,MA-1045-432AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1045-437AA,1,1,1,1,MA-1045-437AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1045-453AA,1,1,1,1,MA-1045-453AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1045-455AA,1,1,1,1,MA-1045-455AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1045-460AA,1,1,1,1,MA-1045-460AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1045-463AA,1,1,1,1,MA-1045-463AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1051-12A01AA38,1,1,1,1,MA-1051-12A01AA38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1051-12A01BA38,1,1,1,1,MA-1051-12A01BA38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1051-12A01CA30,1,1,1,1,MA-1051-12A01CA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1051-12A01CA38,1,1,1,1,MA-1051-12A01CA38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1051-12T1238,1,1,1,1,MA-1051-12T1238,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-12A01AB48,1,1,1,1,MA-105-12A01AB48,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-201AA56,1,1,1,1,MA-105-201BA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-201BA1333,1,1,1,1,MA-1331-201HA2DA4HA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-201BA1531,1,1,1,1,MA-1331-201HA2DA4HA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-201BA2000,1,1,1,1,MA-105-201BA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-202AB2300,1,1,1,1,MA-1331-201JA-GA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-202BA56,1,1,1,1,MA-1331-201HA2DA4HA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-202DA1333,1,1,1,1,MA-1331-201HA2DA4HA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-202DA1531,1,1,1,1,MA-1331-201HA2DA4HA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-202DA2000,1,1,1,1,MA-105-201BA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
105-202EA1333,1,1,1,1,MA-1331-201JA-GA-ROLL,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
