完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
5212-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
5213-498AA30,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
5213-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
4305-608AA10,1,1,L2-603-608AA10,1,1,L1-603-608AA10,1,1,MA-603-608AA10,0,0,,0,0,,0,0,
4305-608AA11,1,1,L2-603-608AA11,1,1,L1-603-608AA11,1,1,MA-603-608AA11,0,0,,0,0,,0,0,
4305-608AA12,1,1,L2-603-608AA12,1,1,L1-603-608AA12,1,1,MA-603-608AA12,0,0,,0,0,,0,0,
603-60812,1,1,L2-603-608AA12,1,1,L1-603-608AA12,1,1,MA-603-608AA12,0,0,,0,0,,0,0,
3226-433AA26,1,1,L2-3222-433AA26,1,1,L1-3222-433AA26,1,1,MA-3222-433AA26,0,0,,0,0,,0,0,
3228-433AA26,1,1,L2-3222-433AA26,1,1,L1-3222-433AA26,1,1,MA-3222-433AA26,0,0,,0,0,,0,0,
3236-433AA26,1,1,L2-3222-433AA26,1,1,L1-3222-433AA26,1,1,MA-3222-433AA26,0,0,,0,0,,0,0,
3636-433AA26,1,1,L2-3222-433AA26,1,1,L1-3222-433AA26,1,1,MA-3222-433AA26,0,0,,0,0,,0,0,
3222-433AB32,1,1,L2-3222-433AA32,1,1,L1-3222-433AA32,1,1,MA-3222-433AA32,0,0,,0,0,,0,0,
3226-433AA32,1,1,L2-3222-433AA32,1,1,L1-3222-433AA32,1,1,MA-3222-433AA32,0,0,,0,0,,0,0,
3236-433AA32,1,1,L2-3222-433AA32,1,1,L1-3222-433AA32,1,1,MA-3222-433AA32,0,0,,0,0,,0,0,
3636-433AA32,1,1,L2-3222-433AA32,1,1,L1-3222-433AA32,1,1,MA-3222-433AA32,0,0,,0,0,,0,0,
3228-433AA36,1,1,L2-3222-433AA36,1,1,L1-3222-433AA36,1,1,MA-3222-433AA36,0,0,,0,0,,0,0,
3236-433AA36,1,1,L2-3222-433AA36,1,1,L1-3222-433AA36,1,1,MA-3222-433AA36,0,0,,0,0,,0,0,
3225-433AA30,1,1,L2-3225-433AA30,1,1,L1-3225-433AA30,1,1,MA-3225-433AA30,0,0,,0,0,,0,0,
3225-433AA32,1,1,L2-3225-433AA32,1,1,L1-3225-433AA32,1,1,MA-3225-433AA32,0,0,,0,0,,0,0,
3225-433AA34,1,1,L2-3225-433AA34,1,1,L1-3225-433AA34,1,1,MA-3225-433AA34,0,0,,0,0,,0,0,
