No,完成部番,単位数分子,単位数分母,前工程
5,MA-6207-627AA34,58.0,1000.0,SKD11015067
6,MA-6207-627AA34,1.0,1.0,SKD6G1552
5,MA-6207-627BA34,58.0,1000.0,SKD11015067
6,MA-6207-627BA34,1.0,1.0,SKD6G1552
5,MA-6209-505AA34,62.0,1000.0,SKD11015067
6,MA-6209-505AA34,1.0,1.0,SKD6G1575
5,MA-6209-624AA34,58.0,1000.0,SKD11015067
6,MA-6209-624AA34,1.0,1.0,SKD6G1552
5,MA-6210-505AA34,54.0,1000.0,SKD11015067
6,MA-6210-505AA34,1.0,1.0,SKD6G1565
5,MA-6210-505BA34,54.0,1000.0,SKD11015067
6,MA-6210-505BA34,1.0,1.0,SKD6G1565
5,MA-6210-505CA34,63.0,1000.0,SKD11021082
6,MA-6210-505CA34,1.0,1.0,SKD8B2144
5,MA-6210-505DA34,54.0,1000.0,SKD11015067
6,MA-6210-505DA34,1.0,1.0,SKD6G1565
5,MA-6210-505EA34,63.0,1000.0,SKD11021082
6,MA-6210-505EA34,1.0,1.0,SKD8B2144
5,MA-6210-626AC34,36.0,1000.0,SKD11015067
6,MA-6210-626AC34,1.0,1.0,SKD6G1542
5,MA-6210-626AD34,36.0,1000.0,SKD11015067
6,MA-6210-626AD34,1.0,1.0,SKD6G1542
5,MA-6211-505AA34,54.0,1000.0,SKD11015067
6,MA-6211-505AA34,1.0,1.0,SKD6G1565
5,MA-621-644L,61.0,1000.0,SKD11022067
6,MA-621-644L,1.0,1.0,SKD6G2250
5,MA-621-644M,69.0,1000.0,SKD11025067
6,MA-621-644M,1.0,1.0,SKD6G2550
5,MA-621-644T,61.0,1000.0,SKD11022067
6,MA-621-644T,1.0,1.0,SKD6G2250
5,MA-621-644V,61.0,1000.0,SKD11022067
6,MA-621-644V,1.0,1.0,SKD6G2250
5,MA-631-51830,98.0,1000.0,SKD11029082
6,MA-631-51830,1.0,1.0,SKD8B2950
5,MA-631-51926,78.0,1000.0,SKD11029082
6,MA-631-51926,1.0,1.0,SKD8B2940
5,MA-710-511,100.0,1000.0,SUJ3038068
6,MA-710-511,1.0,1.0,S6H3846
5,MA-710-516,55.0,1000.0,SUJ3038068
6,MA-710-516,1.0,1.0,S6H3822
5,MA-748-617AA30,168.0,1000.0,SKD11050085
6,MA-748-617AA30,1.0,1.0,SKD8E5048
5,MA-956-68130,227.0,1000.0,SKD11075067
6,MA-956-68130,1.0,1.0,SKD6G7555
5,MA-956-684D30,392.0,1000.0,SKD11075067
6,MA-956-684D30,1.0,1.0,SKD6G7595
5,MA-956-685D30,516.0,1000.0,SKD11075067
6,MA-956-685D30,1.0,1.0,SKD6G75125
5,MA-956-686D30,392.0,1000.0,SKD11075067
6,MA-956-686D30,1.0,1.0,SKD6G7595
5,MA-956-687EA30,227.0,1000.0,SKD11075067
6,MA-956-687EA30,1.0,1.0,SKD6G7555
5,MA-956-69130,145.0,1000.0,SKD11035067
6,MA-956-69130,1.0,1.0,SKD6G3575
5,MA-956-69134,145.0,1000.0,SKD11035067
