No,完成部番,単位数分子,単位数分母,前工程
5,100-202A1240S,1.0,1.0,L-100-202A1240S
6,100-202A1240S,1.0,1,AO-100-202A1240S
1,100-202A1333,0.0,0.0,
2,100-202A1333,0.0,0.0,
3,100-202A1333,0.0,0.0,
4,100-202A1333,1.0,1.0,MA-165-201202CA1333-1531T
5,100-202A1333,1.0,1.0,L-100-202A1333
6,100-202A1333,1.0,1,AO-100-202A1333
1,100-202AB1240S,0.0,0.0,
2,100-202AB1240S,0.0,0.0,
3,100-202AB1240S,0.0,0.0,
4,100-202AB1240S,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202AB1240S,1.0,1.0,L-100-202AB1240S
6,100-202AB1240S,1.0,1,AO-100-202AB1240S
1,100-202B0800,0.0,0.0,
2,100-202B0800,0.0,0.0,
3,100-202B0800,0.0,0.0,
4,100-202B0800,1.0,1.0,MA-165-201-202CA1531
5,100-202B0800,1.0,1.0,L-100-202B0800
6,100-202B0800,1.0,1,AO-100-202B0800
1,100-202B0930,0.0,0.0,
2,100-202B0930,0.0,0.0,
3,100-202B0930,0.0,0.0,
4,100-202B0930,1.0,1.0,MA-165-201-202CA1531
5,100-202B0930,1.0,1.0,L-100-202B0930
6,100-202B0930,1.0,1,AO-100-202B0930
1,100-202B1081,0.0,0.0,
2,100-202B1081,0.0,0.0,
3,100-202B1081,0.0,0.0,
4,100-202B1081,1.0,1.0,MA-165-202AA1333
5,100-202B1081,1.0,1.0,L-100-202B1081
6,100-202B1081,1.0,1,AO-100-202B1081
1,100-202B1150,0.0,0.0,
2,100-202B1150,0.0,0.0,
3,100-202B1150,0.0,0.0,
4,100-202B1150,1.0,1.0,MA-165-202AA1333
5,100-202B1150,1.0,1.0,L-100-202B1150
6,100-202B1150,1.0,1,AO-100-202B1150
1,100-202B1240,0.0,0.0,
2,100-202B1240,0.0,0.0,
3,100-202B1240,0.0,0.0,
4,100-202B1240,1.0,1.0,MA-165-202AA1333
5,100-202B1240,1.0,1.0,L-100-202B1240
6,100-202B1240,1.0,1,AO-100-202B1240
1,100-202B1333,0.0,0.0,
2,100-202B1333,0.0,0.0,
3,100-202B1333,0.0,0.0,
4,100-202B1333,1.0,1.0,MA-165-202AA1531
5,100-202B1333,1.0,1.0,L-100-202B1333
6,100-202B1333,1.0,1,AO-100-202B1333
1,100-202E1150,0.0,0.0,
2,100-202E1150,0.0,0.0,
3,100-202E1150,0.0,0.0,
4,100-202E1150,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202E1150,1.0,1.0,L-100-202E1150
6,100-202E1150,1.0,1,AO-100-202E1150
1,100-202EB1081,0.0,0.0,
2,100-202EB1081,0.0,0.0,
3,100-202EB1081,0.0,0.0,
4,100-202EB1081,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202EB1081,1.0,1.0,L-100-202EB1081
6,100-202EB1081,1.0,1,AO-100-202EB1081
1,100-202EB1150,0.0,0.0,
2,100-202EB1150,0.0,0.0,
3,100-202EB1150,0.0,0.0,
4,100-202EB1150,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202EB1150,1.0,1.0,L-100-202EB1150
6,100-202EB1150,1.0,1,AO-100-202EB1150
1,100-202EB1240,0.0,0.0,
2,100-202EB1240,0.0,0.0,
3,100-202EB1240,0.0,0.0,
4,100-202EB1240,1.0,1.0,MA-165-201202CA1333-1531T
5,100-202EB1240,1.0,1.0,L-100-202EB1240
6,100-202EB1240,1.0,1,AO-100-202EB1240
1,100-202EB1240S,0.0,0.0,
2,100-202EB1240S,0.0,0.0,
3,100-202EB1240S,0.0,0.0,
4,100-202EB1240S,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202EB1240S,1.0,1.0,L-100-202EB1240S
6,100-202EB1240S,1.0,1,AO-100-202EB1240S
1,100-202EB1333,0.0,0.0,
2,100-202EB1333,0.0,0.0,
3,100-202EB1333,0.0,0.0,
4,100-202EB1333,1.0,1.0,MA-165-201202CA1333-1531T
5,100-202EB1333,1.0,1.0,L-100-202EB1333
6,100-202EB1333,1.0,1,AO-100-202EB1333
1,100-202EB1333T,0.0,0.0,
2,100-202EB1333T,0.0,0.0,
3,100-202EB1333T,0.0,0.0,
4,100-202EB1333T,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202EB1333T,1.0,1.0,L-100-202EB1333T
6,100-202EB1333T,1.0,1,AO-100-202EB1333T
1,100-202EB1411,0.0,0.0,
2,100-202EB1411,0.0,0.0,
3,100-202EB1411,0.0,0.0,
4,100-202EB1411,1.0,1.0,MA-165-201202CA1333-1531T
5,100-202EB1411,1.0,1.0,L-100-202EB1411
6,100-202EB1411,1.0,1,AO-100-202EB1411
1,100-202EC0290,0.0,0.0,
2,100-202EC0290,0.0,0.0,
3,100-202EC0290,0.0,0.0,
4,100-202EC0290,0.0,0.0,
5,100-202EC0290,1.0,1.0,MA-100-202EC0290
6,100-202EC0290,1.0,1,AO-100-202EC0290
1,100-202F0290,0.0,0.0,
2,100-202F0290,0.0,0.0,
3,100-202F0290,0.0,0.0,
4,100-202F0290,0.0,0.0,
5,100-202F0290,1.0,1.0,MA-100-202F0290
6,100-202F0290,1.0,1,AO-100-202F0290
1,100-202F1081,0.0,0.0,
2,100-202F1081,0.0,0.0,
3,100-202F1081,0.0,0.0,
4,100-202F1081,1.0,1.0,MA-165-202AA1333
5,100-202F1081,1.0,1.0,L-100-202F1081
6,100-202F1081,1.0,1,AO-100-202F1081
1,100-202F1150,0.0,0.0,
2,100-202F1150,0.0,0.0,
3,100-202F1150,0.0,0.0,
4,100-202F1150,1.0,1.0,MA-165-202AA1333
5,100-202F1150,1.0,1.0,L-100-202F1150
6,100-202F1150,1.0,1,AO-100-202F1150
1,100-202F1240,0.0,0.0,
2,100-202F1240,0.0,0.0,
3,100-202F1240,0.0,0.0,
4,100-202F1240,1.0,1.0,MA-165-202AA1333
5,100-202F1240,1.0,1.0,L-100-202F1240
6,100-202F1240,1.0,1,AO-100-202F1240
1,100-202F1333,0.0,0.0,
2,100-202F1333,0.0,0.0,
3,100-202F1333,0.0,0.0,
4,100-202F1333,1.0,1.0,MA-165-202AA1531
5,100-202F1333,1.0,1.0,L-100-202F1333
6,100-202F1333,1.0,1,AO-100-202F1333
1,100-202F1411,0.0,0.0,
2,100-202F1411,0.0,0.0,
3,100-202F1411,0.0,0.0,
4,100-202F1411,1.0,1.0,MA-165-202AA1531
5,100-202F1411,1.0,1.0,L-100-202F1411
6,100-202F1411,1.0,1,AO-100-202F1411
1,100-204AA,0.0,0.0,
2,100-204AA,0.0,0.0,
3,100-204AA,0.0,0.0,
4,100-204AA,0.0,0.0,
5,100-204AA,1.0,1.0,MA-100-204AA
6,100-204AA,1.0,1,MC-100-204AA
1,100-204BA,0.0,0.0,
2,100-204BA,0.0,0.0,
3,100-204BA,0.0,0.0,
