No,完成部番,単位数分子,単位数分母,前工程
6,105-211AA,1.0,1.0,MC-105-211AA
6,105-213AA,1.0,1.0,PEFIN-105-213AA
4,105-213BA,1.0,1.0,MC1-105-213BA
5,105-213BA,1.0,1.0,MC2-105-213BA
6,105-213BA,1.0,1.0,PA-105-213BA
6,105-213CA,1.0,1.0,PEFIN-105-213CA
5,105-220EA1333,1.0,1.0,L-105-220EA1333
6,105-220EA1333,1.0,1.0,AO-105-220EA1333
5,105-220EA1531,1.0,1.0,L-105-220EA1531
6,105-220EA1531,1.0,1.0,AO-105-220EA1531
5,105-220FA1333,1.0,1.0,L-105-220FA1333
6,105-220FA1333,1.0,1.0,AO-105-220FA1333
5,105-220FA1531,1.0,1.0,L-105-220FA1531
6,105-220FA1531,1.0,1.0,AO-105-220FA1531
6,105-228BA2200,1.0,1.0,PA-105-228BA2200
6,105-229AA,1.0,1.0,MC-105-229AA
6,105-232HA,1.0,1.0,PL-105-232HA
6,105-232HB,1.0,1.0,PL-105-232HB
6,105-232HC,1.0,1.0,PL-105-232HC
6,105-236AA,1.0,1.0,TH-105-236AA
6,105-271A2300,1.0,1.0,PA-105-271A2300
6,105-303BA09038,1.0,1.0,PA-105-303BA09038
6,105-306AA,1.0,1.0,PA-105-306AA
6,105-306BA,1.0,1.0,PA-105-306BA
6,105-307CA,1.0,1.0,PA-105-307CA
6,105-307DA,1.0,1.0,PA-105-307DA
5,105-444DC,1.0,1.0,MC-105-444DC
6,105-444DC,1.0,1.0,PA-105-444DC
6,105-701DA,1.0,1.0,PA-105-701DA
6,105-701EA,1.0,1.0,PA-105-701EA
6,105-701FA,1.0,1.0,PA-105-701FA
6,105-702AA,1.0,1.0,PL-105-702AA
6,106-12A01BA20,1.0,1.0,PA-106-12A01BA20
6,110-444,1.0,1.0,PL-110-444
6,110-453-30,1.0,1.0,PA-110-453-30
6,110-453-38,1.0,1.0,PA-110-453-38
6,110-710,1.0,1.0,PL-110-710
6,11-206,1.0,1.0,PL-11-206
6,1151-12T0107,1.0,1.0,PA-1151-12T0107
5,1151-201AA-B,1.0,1.0,L-1151-201AA-B
6,1151-201AA-B,1.0,1.0,MC-1151-201AA-B
5,1151-202AA-B,1.0,1.0,L-1151-202AA-B
6,1151-202AA-B,1.0,1.0,MC-1151-202AA-B
6,115-120BA38,1.0,1.0,PA-115-120BA38
6,1151-220AA0280,1.0,1.0,AO-1151-220AA0280
6,1151-220BA0280,1.0,1.0,AO-1151-220BA0280
6,1151-307AA48,1.0,1.0,PA-1151-307AA48
6,1151-307AB48,1.0,1.0,PA-1151-307AB48
6,1151-307BA48,1.0,1.0,PA-1151-307BA48
6,1151-307BB48,1.0,1.0,PA-1151-307BB48
6,1151-307CA48,1.0,1.0,PA-1151-307CA48
6,1151-444AA,1.0,1.0,PA-1151-444AA
6,1151-444CA,1.0,1.0,PA-1151-444CA
5,1151-448AA,1.0,1.0,L-1151-448AA
6,1151-448AA,1.0,1.0,PL-1151-448AA
6,115-203-1,1.0,1.0,AO-115-203-1
6,115-206AA1333,1.0,1.0,L-115-206AA1333
6,115-206AA1531,1.0,1.0,L-115-206AA1531
6,115-227AA,1.0,1.0,PA-115-227AA
6,115-228AA,1.0,1.0,PA-115-228AA
6,115-232AA,1.0,1.0,PL-115-232AA
6,115-232BA,1.0,1.0,PL-115-232BA
6,115-232CA,1.0,1.0,PL-115-232CA
