ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO
347,DK,K7281,OD6B-M-8ERS,34.0,18,478-409AA34,1,25110,20251127,2025-11-27 00:00:00,D409,2511,5,478,K7281,2025-11-20 00:00:00,,2025-11-20 00:00:00,,2025-11-21 00:00:00,,,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,2025-11-26 00:00:00,,,,F000125882
348,DK,K7282,OD6B-M-8ERS,34.0,18,478-409AA34,1,25110,20251127,2025-11-27 00:00:00,D409,2511,5,478,K7282,2025-11-20 00:00:00,,2025-11-20 00:00:00,,2025-11-21 00:00:00,,,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,2025-11-26 00:00:00,,,,F000125884
349,DK,K7283,OD6B-M-8ERS,34.0,18,478-409AA34,1,25110,20251127,2025-11-27 00:00:00,D409,2511,5,478,K7283,2025-11-20 00:00:00,,2025-11-20 00:00:00,,2025-11-21 00:00:00,,,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,2025-11-26 00:00:00,,,,F000125886
35,DK,K7199,M-9ME22,30.0,20,478-409AA30,1,25100,20251003,2025-10-03 00:00:00,D409,2510,5,478,K7199,2025-09-29 00:00:00,2025-09-24 00:00:00,2025-09-29 00:00:00,2025-09-25 00:00:00,2025-09-30 00:00:00,2025-09-25 00:00:00,,,2025-10-01 00:00:00,2025-09-26 00:00:00,2025-10-02 00:00:00,2025-09-26 00:00:00,2025-10-02 00:00:00,2025-09-26 00:00:00,,,F000122141
588,DK,M017,OD6B-M-8ERS,30.0,28,478-409AA30,1,25125,20251201,2025-12-02 00:00:00,D409,2512,4,478,M017,2025-11-26 00:00:00,,2025-11-26 00:00:00,,2025-11-27 00:00:00,,,,2025-11-28 00:00:00,,2025-12-01 00:00:00,,2025-12-01 00:00:00,,,,F000126776
589,DK,M018,OD6B-M-8ERS,30.0,28,478-409AA30,1,25126,20251203,2025-12-04 00:00:00,D409,2512,4,478,M018,2025-11-28 00:00:00,,2025-11-28 00:00:00,,2025-12-01 00:00:00,,,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,2025-12-03 00:00:00,,,,F000126806
59,DK,K7208,OD6B-M-8ERS,34.0,16,478-409AA34,1,25100,20251016,2025-10-16 00:00:00,D409,2510,5,478,K7208,2025-10-09 00:00:00,2025-10-02 00:00:00,2025-10-09 00:00:00,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-03 00:00:00,,,2025-10-14 00:00:00,2025-10-06 00:00:00,2025-10-15 00:00:00,2025-10-06 00:00:00,2025-10-15 00:00:00,2025-10-06 00:00:00,,,F000125527
590,DK,M019,OD6B-M-8ERS,30.0,28,478-409AA30,1,25126,20251203,2025-12-04 00:00:00,D409,2512,4,478,M019,2025-11-28 00:00:00,,2025-11-28 00:00:00,,2025-12-01 00:00:00,,,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,2025-12-03 00:00:00,,,,F000126836
591,DK,M020,OD6B-M-8ERS,30.0,28,478-409AA30,1,25126,20251203,2025-12-04 00:00:00,D409,2512,4,478,M020,2025-11-28 00:00:00,,2025-11-28 00:00:00,,2025-12-01 00:00:00,,,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,2025-12-03 00:00:00,,,,F000126866
592,DK,M021,OD6B-M-8ERS,30.0,28,478-409AA30,1,25126,20251203,2025-12-04 00:00:00,D409,2512,4,478,M021,2025-11-28 00:00:00,,2025-11-28 00:00:00,,2025-12-01 00:00:00,,,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,2025-12-03 00:00:00,,,,F000126896
593,DK,M022,OD6B-M-8ERS,30.0,28,478-409AA30,1,25126,20251203,2025-12-04 00:00:00,D409,2512,4,478,M022,2025-11-28 00:00:00,,2025-11-28 00:00:00,,2025-12-01 00:00:00,,,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,2025-12-03 00:00:00,,,,F000126926
594,DK,M023,OD6B-M-7ES,30.0,32,478-409AA30,1,25124,20251126,2025-11-27 00:00:00,D409,2512,4,478,M023,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000126469
595,DK,M024,OD6B-M-7ES,30.0,32,478-409AA30,1,25124,20251126,2025-11-27 00:00:00,D409,2512,4,478,M024,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000126499
596,DK,M025,OD6B-M-7ES,30.0,32,478-409AA30,1,25124,20251126,2025-11-27 00:00:00,D409,2512,4,478,M025,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000126529
597,DK,M026,OD6B-M-7ES,30.0,32,478-409AA30,1,25124,20251126,2025-11-27 00:00:00,D409,2512,4,478,M026,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000126559
598,DK,M027,OD6B-M-7ES,30.0,32,478-409AA30,1,25124,20251126,2025-11-27 00:00:00,D409,2512,4,478,M027,2025-11-19 00:00:00,,2025-11-19 00:00:00,,2025-11-20 00:00:00,,,,2025-11-21 00:00:00,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,,,F000126589
599,DK,M028,OD6B-M-7ES,30.0,32,478-409AA30,1,25127,20251208,2025-12-09 00:00:00,D409,2512,4,478,M028,2025-12-02 00:00:00,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,,,2025-12-04 00:00:00,,2025-12-05 00:00:00,,2025-12-08 00:00:00,,,,F000127035
6,DK,K009,OD6B-M-8ERS,30.0,24,478-409AA30,1,25103,20250924,2025-09-25 00:00:00,D409,2510,4,478,K009,2025-09-18 00:00:00,2025-09-09 00:00:00,2025-09-18 00:00:00,2025-09-10 00:00:00,2025-09-19 00:00:00,2025-09-10 00:00:00,,,2025-09-22 00:00:00,2025-09-17 00:00:00,2025-09-24 00:00:00,2025-09-17 00:00:00,2025-09-24 00:00:00,2025-09-20 00:00:00,,,F000122162
60,DK,K7209,OD6B-M-8ERS,34.0,16,478-409AA34,1,25100,20251016,2025-10-16 00:00:00,D409,2510,5,478,K7209,2025-10-09 00:00:00,2025-10-02 00:00:00,2025-10-09 00:00:00,2025-10-02 00:00:00,2025-10-10 00:00:00,2025-10-03 00:00:00,,,2025-10-14 00:00:00,2025-10-03 00:00:00,2025-10-15 00:00:00,2025-10-06 00:00:00,2025-10-15 00:00:00,2025-10-06 00:00:00,,,F000125529
600,DK,M029,OD6B-M-7ES,30.0,32,478-409AA30,1,25127,20251208,2025-12-09 00:00:00,D409,2512,4,478,M029,2025-12-02 00:00:00,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,,,2025-12-04 00:00:00,,2025-12-05 00:00:00,,2025-12-08 00:00:00,,,,F000127065
601,DK,M030,OD6B-M-7ES,30.0,32,478-409AA30,1,25127,20251208,2025-12-09 00:00:00,D409,2512,4,478,M030,2025-12-02 00:00:00,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,,,2025-12-04 00:00:00,,2025-12-05 00:00:00,,2025-12-08 00:00:00,,,,F000127095
602,DK,M031,OD6B-M-7ES,30.0,32,478-409AA30,1,25127,20251208,2025-12-09 00:00:00,D409,2512,4,478,M031,2025-12-02 00:00:00,,2025-12-02 00:00:00,,2025-12-03 00:00:00,,,,2025-12-04 00:00:00,,2025-12-05 00:00:00,,2025-12-08 00:00:00,,,,F000127125
