HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN,INSTID,INSTDT,UPDTID,UPDTDT
100-208-AA1680,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA2200,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA2300,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA2350,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA2500,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA2650,1,10,PL,無し,仮,0,0,50,0,10,,,2,2,,,,
100-220QA1150,1,10,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
100-220QA1240,1,10,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
100-220QB1150,1,10,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
100-220QB1240,1,10,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
100-220TA0700,1,10,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
100-220TB0700,1,10,AO（無）,3994,仮,0,0,75,0,10,,,2,2,,,,
100-226,1,10,L2,3994,仮,0,0,0,0,10,,,2,2,,,,
100-226,2,20,PA,3994,仮,0,0,0,0,10,,,2,2,,,,
100-226BA,1,10,L2,3994,仮,0,0,0,0,10,,,2,2,,,,
100-226BA,2,20,PA,無し,仮,0,0,0,0,10,,,2,2,,,,
100-226BB,1,10,L2,3994,仮,0,0,20,0,10,,,2,2,,,,
100-226BB,2,20,PA,3994,仮,0,0,20,0,10,,,2,2,,,,
100-226DA,1,10,L,3994,仮,0,0,35,0,10,,,2,2,,,,
100-228CA1333,1,10,PA,無し,仮,0,0,75,0,10,,,2,2,,,,
100-229,1,10,PA,無し,仮,0,0,75,0,10,,,2,2,,,,
100-229CA,1,10,PA,無し,仮,0,0,75,0,10,,,2,2,,,,
100-236AB,1,10,TH,3052,仮,0,0,0,0,10,,,2,2,,,,
100-237,1,10,PA,1515,仮,0,0,75,0,10,,,2,2,,,,
100-241EA,1,10,PA,無し,仮,0,0,75,0,10,,,2,2,,,,
100-241JA,1,10,PA,無し,仮,0,0,27,0,10,,,2,2,,,,
100-271LA,1,10,PA,1515,仮,0,0,70,0,10,,,2,2,,,,
100-273,1,10,PA,無し,仮,0,0,75,0,10,,,2,2,,,,
100-276B,1,10,L,3990,仮,0,0,30,0,10,,,2,2,,,,
100-303AA071288N,1,10,PA,1515,仮,0,0,35,0,10,,,2,2,,,,
100-303AA080288N,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-303AA0803810N,1,10,PA,1515,仮,0,0,30,0,10,,,2,2,,,,
100-303AA090288N,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-303AA0903810N,1,10,PA,1515,仮,0,0,15,0,10,,,2,2,,,,
100-303AA100288N,1,10,PA,1515,仮,0,0,45,0,10,,,2,2,,,,
100-303AA1003810N,1,10,PA,1515,仮,0,0,15,0,10,,,2,2,,,,
100-303AA112288N,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-303AA1253810N,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-303AA1403810N,1,10,PA,1515,仮,0,0,30,0,10,,,2,2,,,,
100-304-200,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-304-230,1,10,PA,1515,仮,0,0,45,0,10,,,2,2,,,,
100-444JB,1,10,MC,3523,仮,0,0,40,0,10,,,2,2,,,,
100-444JB,2,20,PA,CA,仮,0,0,40,0,10,,,2,2,,,,
100-444LA,1,10,MC,3399,仮,0,0,23,0,10,,,2,2,,,,
100-444LA,2,20,PA,3399,仮,0,0,23,0,10,,,2,2,,,,
100-444SA,1,10,PA,無し,仮,0,0,20,0,10,,,2,2,,,,
100-444TA,1,10,PA,無し,仮,0,0,23,0,10,,,2,2,,,,
100-454AC,1,10,PL,1973,仮,0,0,20,0,10,,,2,2,,,,
100-454AF,1,10,PL,1973,仮,0,0,0,0,10,,,2,2,,,,
100-609AB1,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609AB2,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609AB4,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609AB5,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609AB6,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609AB7,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609AB8,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609AC,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609FA,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609FE,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609JB1,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609JB2,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609JB3,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609JB4,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609JB5,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609JB7,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609JB8,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609KB3,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609MC,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609RE,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
100-609TE,1,10,PA,1515,仮,0,0,0,0,10,,,2,2,,,,
