No.,記入日,記入者,発注部番（数字・ｶﾀｶﾅは半角）,品名（数字・ｶﾀｶﾅは半角）,個数,単価,納期（必須）,工具受領日,業者コード,業者名略称,合計金額,備考,注文書発行日,注文番号,検収日,部品注文番号／組立番号／製作依頼番号,完成部番,比率（分子（素材））,比率（分母（完成部番））,備考
85,11/13,宮木,SKD11-20X40X30,SKD11 6F  20(±0.1)×40(±0.1)×30(±0.1) ,2,"1,110",2018/11/16,済,3315,京阪プレ－ト,"2,220",11/13阪本殿メール,2018/11/16,E3298618,2018/11/26,,,,,
86,11/13,宮木,S50C-22X124X360,S50C 6F  22(±0.1)×124(±0.1)×360(±0.1) ,1,"4,060",2018/11/16,済,3315,京阪プレ－ト,"4,060",11/13阪本殿メール,2018/11/16,E3298619,2018/11/26,,,,,
87,11/13,宮木,SS400-12X18X32,SS400  6F  12(±0.1)×18(±0.1)×32(±0.1) ,20,510,2018/11/16,済,3315,京阪プレ－ト,"10,200",11/13阪本殿メール,2018/11/16,E3298620,2018/11/26,,,,,
88,11/13,宮木,SS400-16X78X129,SS400  6F  16(±0.1)×78(±0.1)×129(±0.1) ,10,960,2018/11/16,済,3315,京阪プレ－ト,"9,600",11/13阪本殿メール,2018/11/16,E3298621,2018/11/26,,,,,
89,11/28,宮木,SK3-6.5X50X390,SK3 4F 6.5(±0.05)X50(±0.1)X390,5,"2,680",2018/12/4,済,3315,京阪プレ－ト,"13,400",11/28万代殿メール,2018/11/29,E3317642,2018/12/6,,,,,
90,11/28,宮木,SK3-8X50X390,SK3 4F 8.0(±0.1)X50(±0.1)X390,25,"2,660",2018/12/4,済,3315,京阪プレ－ト,"66,500",11/28万代殿メール,2018/11/29,E3317643,2018/12/6,,,,,
91,11/28,宮木,SKD11-9.8X50X200,SKD11 4F  9.8(±0.02)×50(±0.1)×200(±0.1) ,25,"2,600",2018/12/5,済,3045,大同DMソリューション（株）,"65,000",11/28植木殿メール,2018/11/28,E3315868,2018/12/11,,,,,
92,11/29,宮木,SKD11-6.0X50X200,SKD11 4F  6.0(±0.02)×50(±0.1)×200(±0.1) ,36,"2,400",2018/12/10,済,3045,大同DMソリューション（株）,"86,400",11/29植木殿メール,2018/11/29,E3317646,2018/12/11,,,,,
93,11/30,宮木,SKD11-7.0X50X200,SKD11 4F  7.0(±0.02)×50(±0.1)×200(±0.1) ,24,"2,960",2018/12/5,済,3315,京阪プレ－ト,"71,040",12/1植木殿メール,2018/12/4,E3322756,2018/12/11,,,,,
94,11/30,宮木,S50C-13.2X40X400,S50C 6F  13.2(±0.1)×40(±0.1)×400(±0.1) ,13,"1,510",2018/12/5,済,3315,京阪プレ－ト,"19,630",12/1植木殿メール,2018/12/4,E3322757,2018/12/11,,,,,
