No,完成部番,単位数分子,単位数分母,前工程
6,1731-417BA24,1.0,3.0,MA-1731-417BA24-DRUM
6,1731-418AA24,1.0,4.0,MA-1731-418AA24-DRUM
4,1751-401BB17,1.0,1.0,MA-1751-401BB17
4,1751-401BB24,1.0,1.0,MA-1751-401BB24
4,1751-402BA12,1.0,1.0,MA-1751-402BA12
3,1751-402BA17,1.0,1.0,MA-1751-402BA17
3,1751-402BA24,1.0,1.0,MA-1751-402BA24
4,1751-403AA17,1.0,1.0,MA-1751-403AA17
4,1751-403AA24,1.0,1.0,MA-1751-403AA24
4,1751-406BC08,1.0,1.0,MA-1751-406BC08
4,1751-406BC10,1.0,1.0,MA-1751-406BC10
4,1751-406BC11,1.0,1.0,MA-1751-406BC11
4,1751-406BC12,1.0,1.0,MA-1751-406BC12
4,1751-406BC13,1.0,1.0,MA-1751-406BC13
4,1751-406BC14,1.0,1.0,MA-1751-406BC14
4,1751-406BC15,1.0,1.0,MA-1751-406BC15
4,1751-406BC16,1.0,1.0,MA-1751-406BC16
4,1751-406BC17,1.0,1.0,MA-1751-406BC17
4,1751-406BD18,1.0,1.0,MA-1751-406BC18
4,1751-406BD19,1.0,1.0,MA-1751-406BC19
4,1751-406BD20,1.0,1.0,MA-1751-406BC20
4,1751-406BC24,1.0,1.0,MA-1751-406BC24
4,5143-601AA20,1.0,1.0,MA-1751-601AA20
4,5143-601AA24,1.0,1.0,MA-1751-601AA24
6,5145-601AA08,1.0,1.0,MA-1751-601AA08
6,5145-601AA10,1.0,1.0,MA-1751-601AA11
6,5145-601AA11,1.0,1.0,MA-1751-601AA11
6,5145-601AA12,1.0,1.0,MA-1751-601AA12
6,5145-601AA13,1.0,1.0,MA-1751-601AA14
4,5145-601AA14,1.0,1.0,MA-1751-601AA14
4,5145-601AA15,1.0,1.0,MA-1751-601AA15
4,5145-601AA16,1.0,1.0,MA-1751-601AA16
4,1731-501ZEA14,1.0,1.0,MA-19B-501ZEA14
5,1731-501ZEA15,1.0,1.0,MA-19B-501ZEA18
5,1731-501ZEA16,1.0,1.0,MA-19B-501ZEA18
5,1731-501ZEA17,1.0,1.0,MA-19B-501ZEA18
5,1731-501ZEA18,1.0,1.0,MA-19B-501ZEA18
5,1731-501ZEA19,1.0,1.0,MA-19B-501ZEA22
5,1731-501ZEA20,1.0,1.0,MA-19B-501ZEA22
5,1731-501ZEA21,1.0,1.0,MA-19B-501ZEA22
5,1731-501ZEA22,1.0,1.0,MA-19B-501ZEA22
5,5202-498AA36,1.0,1.0,MA-720-65242-DRUM
5,5213-498AA30,1.0,1.0,MA-720-65242-DRUM
5,5213-498AA36,1.0,1.0,MA-720-65242-DRUM
4,3239-501AA30,1.0,1.0,MA-3239-501AA30
4,3242-432AA30,1.0,1.0,MA-3242-432AA30
5,3242-432AA34,1.0,1.0,MA-3242-432AA34
4,335-501EB33,1.0,1.0,MA-335-501BA33
4,C352-501BA33,1.0,1.0,MA-335-501BA33
5,3538-608AA30,1.0,4.0,MA-603-608AA30-DRUM
5,3538-608AA34,1.0,4.0,MA-954-60136-DRUM
4,5310-501BA33,1.0,1.0,MA-358-501B33
4,3650-501BA30,1.0,1.0,MA-3636-501BC30
4,3538-501BB34,1.0,1.0,MA-3636-501BC34
4,3636-501BB34,1.0,1.0,MA-3636-501BC34
4,3650-501BA34,1.0,1.0,MA-3636-501BC34
