No,完成部番,単位数分子,単位数分母,前工程
5,3139-608BA36,1.0,3.0,MA-973-608AA36-DRUM
6,3139-608BA36,1.0,1,L1-3139-60836
1,5181-601AA17,0.0,0.0,
2,5181-601AA17,0.0,0.0,
3,5181-601AA17,0.0,0.0,
4,5181-601AA17,1.0,1.0,MA-1751-601AA17
5,5181-601AA17,1.0,1.0,L1-1751-601AA17
6,5181-601AA17,1.0,1,LA-1751-601AA17-L2
1,5181-601AA18,0.0,0.0,
2,5181-601AA18,0.0,0.0,
3,5181-601AA18,0.0,0.0,
4,5181-601AA18,1.0,1.0,MA-1751-601AA18
5,5181-601AA18,1.0,1.0,L1-1751-601AA18
6,5181-601AA18,1.0,1,LA-1751-601AA18-L2
1,3139-608BA38,0.0,0.0,
2,3139-608BA38,0.0,0.0,
3,3139-608BA38,0.0,0.0,
4,3139-608BA38,0.0,0.0,
5,3139-608BA38,1.0,3.0,MA-973-608AA38-DRUM
6,3139-608BA38,1.0,1,L1-3139-60838
1,1831-501CA36,0.0,0.0,
2,1831-501CA36,0.0,0.0,
3,1831-501CA36,0.0,0.0,
4,1831-501CA36,1.0,1.0,MA-1831-501BA36
5,1831-501CA36,1.0,1.0,L1-1831-501BA36
6,1831-501CA36,1.0,1,LA-1831-501BA36-DF
1,1831-501CA38,0.0,0.0,
2,1831-501CA38,0.0,0.0,
3,1831-501CA38,0.0,0.0,
4,1831-501CA38,1.0,1.0,MA-1831-501BA38
5,1831-501CA38,1.0,1.0,L1-1831-501BA38
6,1831-501CA38,1.0,1,LA-1831-501BA38-DF
1,3139-652CA38,0.0,0.0,
2,3139-652CA38,0.0,0.0,
3,3139-652CA38,0.0,0.0,
4,3139-652CA38,0.0,0.0,
5,3139-652CA38,1.0,1.0,MA-720-65238-DRUM
6,3139-652CA38,1.0,4,L1-720-65238-DRUM
1,5181-501AA17,0.0,0.0,
2,5181-501AA17,0.0,0.0,
3,5181-501AA17,0.0,0.0,
4,5181-501AA17,0.0,0.0,
5,5181-501AA17,1.0,1.0,MA-1751-501AA17
6,5181-501AA17,1.0,1,L1-1751-501CA17
1,5181-502AA17,0.0,0.0,
2,5181-502AA17,0.0,0.0,
3,5181-502AA17,0.0,0.0,
4,5181-502AA17,0.0,0.0,
5,5181-502AA17,1.0,1.0,MA-59-502B17
6,5181-502AA17,1.0,1,L1-59-502B17
1,5181-602AA17,0.0,0.0,
2,5181-602AA17,0.0,0.0,
3,5181-602AA17,0.0,0.0,
4,5181-602AA17,0.0,0.0,
5,5181-602AA17,0.0,0.0,
6,5181-602AA17,1.0,1,MA-RH-0031A-06E
1,5181-602GA17,0.0,0.0,
2,5181-602GA17,0.0,0.0,
3,5181-602GA17,0.0,0.0,
4,5181-602GA17,0.0,0.0,
5,5181-602GA17,0.0,0.0,
6,5181-602GA17,1.0,1,MA-RH-0031A-07E
1,5181-641AA17,0.0,0.0,
2,5181-641AA17,0.0,0.0,
3,5181-641AA17,0.0,0.0,
4,5181-641AA17,1.0,1.0,MA-720-65216-DRUM
5,5181-641AA17,1.0,4.0,L1-720-65216-DRUM
6,5181-641AA17,1.0,1,L2-5181-641AA17
1,5181-502AA18,0.0,0.0,
2,5181-502AA18,0.0,0.0,
3,5181-502AA18,0.0,0.0,
4,5181-502AA18,0.0,0.0,
5,5181-502AA18,1.0,1.0,MA-59-502B18
6,5181-502AA18,1.0,1,L1-59-502B18
1,5181-602AA18,0.0,0.0,
2,5181-602AA18,0.0,0.0,
3,5181-602AA18,0.0,0.0,
4,5181-602AA18,0.0,0.0,
5,5181-602AA18,0.0,0.0,
6,5181-602AA18,1.0,1,MA-RH-0031A-06E
1,5181-602GA18,0.0,0.0,
2,5181-602GA18,0.0,0.0,
3,5181-602GA18,0.0,0.0,
4,5181-602GA18,0.0,0.0,
5,5181-602GA18,0.0,0.0,
6,5181-602GA18,1.0,1,MA-RH-0031A-07E
1,3557-502BA34,0.0,0.0,
2,3557-502BA34,0.0,0.0,
3,3557-502BA34,0.0,0.0,
4,3557-502BA34,1.0,1.0,MA-600-502AA34
5,3557-502BA34,1.0,1.0,L1-4109-502AA34
6,3557-502BA34,1.0,1,PL-3557-502BA34
1,5108-602EC33,0.0,0.0,
2,5108-602EC33,0.0,0.0,
3,5108-602EC33,0.0,0.0,
