,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,,,,,,,,
I,12Q-411KA36,1,1,LA-12Q-411KA36-MC,1,1,LA-12Q-411BA36-L2,1,1,L1-12Q-411BA36,1,1,MA-12Q-411BA36,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170517,担当変更,,,,,,,,
I,1355-406AB19,1,1,LA-1355-406AB19-MC,1,1,LA-1355-406AB19-D,1,1,L1-1355-406AB19,1,1,MA-1355-406AB19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,162-406BB30,1,1,LA-162-406BB30-MC,1,1,LA-162-406BB30-D,1,1,L1-162-406BB30,1,1,MA-162-406BB30,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,部品注文,,,,,,,,
I,130-501BA14,1,1,L1-130-501BA14,1,1,MA-130-501BA14,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20180220,新規部品対応,,,,,,,,
I,1355-402AA24,1,1,L1-1355-402AA24,1,1,MA-1355-402AA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,1355-403CB24,1,1,L1-1355-403CB24,1,1,MA-1355-403CB24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,1355-440AA24,1,1,L1-1355-440AA24,1,1,MA-1355-440AA24,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,201-502BA13,1,1,L1-201-502BA13,1,1,MA-201-502BA13,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20180220,新規部品対応,,,,,,,,
H,3154-409AB190,1,1,L1-3154-409AA19-S,1,4,MA-3154-409AA19-S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,栗山,20210402,単位数分母2　2→4に変更,,,,,,,,
H,3154-409AB220,1,1,L1-3154-409AA22-S,1,4,MA-3154-409AA22-S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,出石,20200525,2→4個取りに変更,,,,,,,,
H,335-409EA300,1,1,L1-478-409BA30-S,1,1,MA-478-409BA30-S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,杉本,20150507,杉本,20170403,木本氏登録不備,,,,,,,,
I,5521-502AB19,1,1,L1-5521-502AB19,1,1,MA-5521-502AB19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,5527-501AA19,1,1,L1-5527-501AA19,1,1,MA-5527-501AA19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
