No,完成部番,単位数分子,単位数分母,前工程
6,5154-506AA30,1.0,1.0,COM-5154-506AA30
6,5154-506BB30,1.0,1.0,COM-5154-506BB30
6,5154-511AA30,1.0,1.0,COM-5154-511AA30
6,5154-512AA30,1.0,1.0,COM-5154-512AA30
6,5154-513AA30,1.0,1.0,COM-5154-513AA30
6,5154-514AA30,1.0,1.0,COM-5154-514AA30
6,5154-607AA30,1.0,1.0,COM-5154-607AA30
6,5154-607BA30,1.0,1.0,COM-5154-607BA30
6,5154-608AA30,1.0,1.0,COM-5154-608AA30
6,5154-611AA30,1.0,1.0,COM-5154-611AA30
6,5154-612AA30,1.0,1.0,COM-5154-612AA30
6,5154-613AB30,1.0,1.0,COM-5154-613AB30
6,5154-614AB30,1.0,1.0,COM-5154-614AB30
6,5154-615AA30,1.0,1.0,COM-5154-615AA30
6,5154-616AA30,1.0,1.0,COM-5154-616AA30
6,5154-617AA30,1.0,1.0,COM-5154-617AA30
6,5154-618AA30,1.0,1.0,COM-5154-618AA30
6,973-519AA30,1.0,1.0,COM-973-519AA30
6,973-520AA30,1.0,1.0,COM-973-520AA30
6,5154-611BA30,1.0,1.0,COM-5154-611BA30
6,5154-612BA30,1.0,1.0,COM-5154-612BA30
6,57-513BS2,1.0,1.0,COM-57-513BS2
6,600-52138S2,1.0,1.0,COM-600-52138S2
6,972-511CB30,1.0,1.0,COM-972-511CB30
6,972-512AB30,1.0,1.0,COM-972-512AB30
6,5142-506AA30,1.0,1.0,COM-5142-506AA30
6,5142-507AA30,1.0,1.0,COM-5142-507AA30
6,5142-511AA30,1.0,1.0,COM-5142-511AA30
6,5142-512AA30,1.0,1.0,COM-5142-512AA30
6,5142-514AA30,1.0,1.0,COM-5142-514AA30
6,5142-516AA30,1.0,1.0,COM-5142-516AA30
6,5142-606AA30,1.0,1.0,COM-5142-606AA30
6,5142-606BA30,1.0,1.0,COM-5142-606BA30
6,5142-607AA30,1.0,1.0,COM-5142-607AA30
6,5142-611AA30,1.0,1.0,COM-5142-611AA30
6,5142-612AA30,1.0,1.0,COM-5142-612AA30
6,5142-613AA30,1.0,1.0,COM-5142-613AA30
6,5142-614AA30,1.0,1.0,COM-5142-614AA30
6,5142-615AA30,1.0,1.0,COM-5142-615AA30
6,5142-615LA30,1.0,1.0,COM-5142-615LA30
6,5142-616AA30,1.0,1.0,COM-5142-616AA30
6,5142-619AA30,1.0,1.0,COM-5142-619AA30
6,5142-620AA30,1.0,1.0,COM-5142-620AA30
6,5142-621AA30,1.0,1.0,COM-5142-621AA30
6,5142-622AA30,1.0,1.0,COM-5142-622AA30
6,5301-592AA38,1.0,1.0,COM-5301-592AA38
6,5541-511AA38,1.0,1.0,COM-5541-511AA38
6,5541-512AA38,1.0,1.0,COM-5541-512AA38
6,5541-519AA38,1.0,1.0,COM-5541-519AA38
6,5165-512AA30,1.0,1.0,COM-5165-512AA30
6,5165-514AC30,1.0,1.0,COM-5165-514AC30
