No,完成部番,単位数分子,単位数分母,前工程
6,L8A-DB6B,1.0,1.0,L8A-MB6B
4,L8A-DB9B33,50.0,1000.0,SUJ3030056
5,L8A-DB9B33,1.0,1.0,S5F3035
6,L8A-DB9B33,1.0,1.0,L8A-MB9B33
4,L8A-DC0B,60.0,1000.0,SUJ3038056-44
5,L8A-DC0B,1.0,1.0,S5F3830
6,L8A-DC0B,1.0,1.0,L8A-MC0B
4,L8A-DC0B33,50.0,1000.0,SUJ3030056
5,L8A-DC0B33,1.0,1.0,S5F3035
6,L8A-DC0B33,1.0,1.0,L8A-MC0B33
4,L8A-DX3R33,50.0,1000.0,SUJ3038056-44
5,L8A-DX3R33,1.0,1.0,S5F3822
6,L8A-DX3R33,1.0,1.0,L8A-MX3R33
4,L8A-DX4B,45.0,1000.0,SUJ3038068
5,L8A-DX4B,1.0,1.0,S6H3818
6,L8A-DX4B,1.0,1.0,L8A-MX4B
4,L8A-DX4B38,55.0,1000.0,SUJ3038068
5,L8A-DX4B38,1.0,1.0,S6H3822
6,L8A-DX4B38,1.0,1.0,L8A-MX4B38
4,L8A-DX5B,50.0,1000.0,SUJ3038056-44
5,L8A-DX5B,1.0,1.0,S5F3822
6,L8A-DX5B,1.0,1.0,L8A-MX5B
4,L8A-DX5B38,50.0,1000.0,SUJ3038056-44
5,L8A-DX5B38,1.0,1.0,S5F3822
6,L8A-DX5B38,1.0,1.0,L8A-MX5B38
4,L8A-DY1AS38,35.0,1000.0,SKD11022055
5,L8A-DY1AS38,1.0,1.0,SKD5E2235
6,L8A-DY1AS38,1.0,1.0,L8A-MY1AS38
4,L8A-DY1ASL,50.0,1000.0,SUJ3038056-44
5,L8A-DY1ASL,1.0,1.0,S5F3822
6,L8A-DY1ASL,1.0,1.0,L8A-MY1ASL
4,L8A-DY1ASL33,35.0,1000.0,SKD11022055
5,L8A-DY1ASL33,1.0,1.0,SKD5E2235
6,L8A-DY1ASL33,1.0,1.0,L8A-MY1ASL33
6,L8A-DY1ASL38,1.0,1.0,L8A-MY1ASL38
4,L8A-DY1C,50.0,1000.0,SUJ3038056-44
5,L8A-DY1C,1.0,1.0,S5F3822
6,L8A-DY1C,1.0,1.0,L8A-MY1C
4,L8A-DY1C33,35.0,1000.0,SKD11022055
5,L8A-DY1C33,1.0,1.0,SKD5E2235
6,L8A-DY1C33,1.0,1.0,L8A-MY1C33
4,L8A-DY1D,50.0,1000.0,SUJ3038056-44
5,L8A-DY1D,1.0,1.0,S5F3822
6,L8A-DY1D,1.0,1.0,L8A-MY1D
4,L8A-DY1D33,35.0,1000.0,SKD11022055
5,L8A-DY1D33,1.0,1.0,SKD5E2235
6,L8A-DY1D33,1.0,1.0,L8A-MY1D33
4,L8A-DY1D38,35.0,1000.0,SKD11022055
5,L8A-DY1D38,1.0,1.0,SKD5E2235
6,L8A-DY1D38,1.0,1.0,L8A-MY1D38
4,L8A-DY4B,45.0,1000.0,SUJ3038068
5,L8A-DY4B,1.0,1.0,S6H3818
6,L8A-DY4B,1.0,1.0,L8A-MY4B
4,L8A-DY4C,45.0,1000.0,SUJ3038068
5,L8A-DY4C,1.0,1.0,S6H3818
6,L8A-DY4C,1.0,1.0,L8A-MY4C
4,L8A-DY4C33,45.0,1000.0,SUJ3038068
5,L8A-DY4C33,1.0,1.0,S6H3818
6,L8A-DY4C33,1.0,1.0,L8A-MY4C33
4,L8A-DY4C38,45.0,1000.0,SUJ3038068
5,L8A-DY4C38,1.0,1.0,S6H3818
6,L8A-DY4C38,1.0,1.0,L8A-MY4C38
4,L8A-DY4D,45.0,1000.0,SUJ3038068
5,L8A-DY4D,1.0,1.0,S6H3818
6,L8A-DY4D,1.0,1.0,L8A-MY4D
4,L8A-DY4D33,45.0,1000.0,SUJ3038068
5,L8A-DY4D33,1.0,1.0,S6H3818
6,L8A-DY4D33,1.0,1.0,L8A-MY4D33
4,L8AL-DB1,45.0,1000.0,SKD11025055
5,L8AL-DB1,1.0,1.0,SKD5E2538
6,L8AL-DB1,1.0,1.0,L8AL-MB1
4,L8AL-DB2,41.0,1000.0,SKD11025055
5,L8AL-DB2,1.0,1.0,SKD5E2535
6,L8AL-DB2,1.0,1.0,L8AL-MB2
4,L8AL-DB3,32.0,1000.0,SKD11025067
5,L8AL-DB3,1.0,1.0,SKD6G2523
6,L8AL-DB3,1.0,1.0,L8AL-MB3
4,L8AL-DB3A33,36.0,1000.0,SKD11025067
5,L8AL-DB3A33,1.0,1.0,SKD6G2526
6,L8AL-DB3A33,1.0,1.0,L8AL-MB3A33
4,L8AL-DB3AA36,36.0,1000.0,SKD11025067
5,L8AL-DB3AA36,1.0,1.0,SKD6G2526
6,L8AL-DB3AA36,1.0,1.0,L8AL-MB3AA36
4,L8AL-DB4,32.0,1000.0,SKD11025067
