5165-506BB30,1.0,1,COM-5165-506BB30,1.0,1.0,MA-5165-506BB30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-511AA34,1.0,1,COM-5165-511AA34,1.0,1.0,MA-5165-511AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-511AA42,1.0,1,COM-5165-511AA42,1.0,1.0,MA-5165-511AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-511AE30,1.0,1,COM-5165-511AE30,1.0,1.0,MA-5165-511AE30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-512AA34,1.0,1,COM-5165-512AA34,1.0,1.0,MA-5165-512AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-512AA42,1.0,1,COM-5165-512AA42,1.0,1.0,MA-5165-512AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-514AA34,1.0,1,COM-5165-514AA34,1.0,1.0,MA-5165-514AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-514AA42,1.0,1,COM-5165-514AA42,1.0,1.0,MA-5165-514AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-516AA34,1.0,1,COM-5165-516AA34,1.0,1.0,MA-5165-516AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-516AA42,1.0,1,COM-5165-516AA42,1.0,1.0,MA-5165-516AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-521AA42,1.0,1,COM-5165-521AA42,1.0,1.0,MA-5165-521AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-522AA42,1.0,1,COM-5165-522AA42,1.0,1.0,MA-5165-522AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-524AA42,1.0,1,COM-5165-524AA42,1.0,1.0,MA-5165-524AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
