FINAL_ITEM_CODE,PRODUCT_TYP
5145-502JA09,7
5157-602BA34,7
5157-602AA34,7
59-602GB18,7
3164-652AA34,7
3164-652AA30,7
5145-502JA17,7
5145-502JA18,7
5145-602BA09,7
5145-602CA09,7
5145-602GA09,7
1751-402BA12,7
1751-443AA17,7
1751-443AA24,7
1751-404BA,7
1751-404AB,7
1751-402BA17,7
1751-402BA24,7
810-65230,7
3153-652AB34,7
5529-502AA34,7
59-602GB17,7
5169-502AA36,7
59-602GB15,7
59-602DA17,7
59-602DA15,7
5145-602AA18,7
603-601EA26,7
603-608B26,7
600-502AD26,7
600-502AD34,7
600-652AA26,7
1751-406BC15,7
1751-406BC17,7
1751-406BD18,7
3557-601AB34,7
5154-641AA30,7
3164-601EA30,7
5154-641AA34,7
603-601GA30,7
K-29901GA,7
5145-502EA09,7
81-405EA14,7
5145-602EA09,7
1831-501CB32,7
101-440BB38,7
100-501NA32,7
1035-418AA26,7
161-406RE38,7
3153-601EB34,7
4207-601EA30,7
5172-641AA33,7
5172-602BA33,7
5172-602CA33,7
1151-443AA,7
1151-102AA,7
1151-102BA,7
1151-103AA,7
1151-406AA,7
1151-406BA07,7
1151-414AA,7
1151-501AA,7
1151-501BA07,7
12Q-411AA26,7
12Q-411MB34,7
12Q-411MB38,7
1355-414AA,7
1355-417AB24,7
1531-102DA,7
1531-102EB,7
1531-103BA24,7
1731-501ZEA19,7
208-409CA18,7
259-405A26,7
4305-608AA19,7
TS-5275-608AA30,7
SPL-2521CA30,7
KF30-00901AA,7
SPL-2521DA,7
3164-502EB30,7
1751-411AA19,7
81-405EA19,7
5154-602EA30,7
6104-409CA34,7
59-409B8,7
59-405A8,7
59-405A10,7
600-652AA19,7
5542-405AA30,5
1355-401EA24,7
1632-401AA30,7
1532-431BA30,7
1751-411AA08,7
161-406CEB26,7
171-406LA34,7
1731-406BA19,7
1751-406BC08,7
1751-406BD20,7
5520-502AA30,7
1532-440AA34,7
1151-501BA5.5,7
3242-501AA34,7
3650-501BA34,7
3650-501CA34,7
3923-501AA20,7
5529-501BA38,7
3906-501AA20,7
474-501AB34,7
5145-501AA20,7
5126-501AA26,7
5126-601AA26,7
5145-501AA08,7
5172-501AA30,7
5520-501BA34,7
5540-501AA38,7
474-602CC34,7
478-502EC33,7
474-602DA30,7
474-602DA34,7
162-417AA38,7
162-418AA38,7
1751-406BC12,7
3139-608AA26,7
3650-608AA34,7
3164-502ZA36,7
3923-608AA20,7
3239-608AB30,7
3242-502AA34,7
3650-502JB30,7
3650-502JA34,7
5145-502JA12,7
3906-502JA20,7
12Q-411KA34,7
3922-502EB26,7
3923-502AA20,7
6210-501CA34,7
1155-413AB48,7
5533-501AA34,7
5534-501BA38,7
3242-601EA34,7
3650-601AA34,7
