OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
100-208-AA0700,PL,100,3861,2018/11/8,0,700,,2
100-208-AA0700,PL,100,9999,2000/1/1,0,700,,2
100-208-AA0800,PL,100,3158,2023/1/5,10,720,,2
100-208-AA0800,PL,100,3158,2023/1/5,5,880,,2
100-208-AA0800,PL,100,3158,2023/1/5,4,880,,2
100-208-AA0800,PL,100,3158,2023/1/5,3,880,,2
100-208-AA0800,PL,100,3158,2023/1/5,0,2200,,2
100-208-AA0800,PL,100,3158,2023/1/5,7,880,,2
100-208-AA0800,PL,100,3158,2023/1/5,6,880,,2
100-208-AA0800,PL,100,3158,2023/1/5,9,880,,2
100-208-AA0800,PL,100,3158,2023/1/5,8,880,,2
100-208-AA0800,PL,100,3158,2022/8/8,10,650,,2
100-208-AA0800,PL,100,3158,2022/6/1,8,800,,2
100-208-AA0800,PL,100,3158,2022/6/1,9,800,,2
100-208-AA0800,PL,100,3158,2022/6/1,5,800,,2
100-208-AA0800,PL,100,3158,2022/6/1,6,800,,2
100-208-AA0800,PL,100,3158,2022/6/1,4,800,,2
100-208-AA0800,PL,100,3158,2022/6/1,7,800,,2
100-208-AA0800,PL,100,3158,2022/6/1,3,800,,2
100-208-AA0800,PL,100,3158,2022/4/7,0,2000,,2
100-208-AA0800,PL,100,3861,2018/7/6,0,700,,2
100-208-AA0800,PL,100,9999,2000/1/1,0,700,,2
100-208-AA0930,PL,100,3158,2023/1/5,8,880,,2
100-208-AA0930,PL,100,3158,2023/1/5,7,880,,2
100-208-AA0930,PL,100,3158,2023/1/5,6,880,,2
100-208-AA0930,PL,100,3158,2023/1/5,5,880,,2
100-208-AA0930,PL,100,3158,2023/1/5,9,880,,2
100-208-AA0930,PL,100,3158,2023/1/5,3,880,,2
100-208-AA0930,PL,100,3158,2023/1/5,4,880,,2
100-208-AA0930,PL,100,3158,2022/6/1,5,800,,2
100-208-AA0930,PL,100,3158,2022/6/1,4,800,,2
100-208-AA0930,PL,100,3158,2022/6/1,9,800,,2
100-208-AA0930,PL,100,3158,2022/6/1,6,800,,2
100-208-AA0930,PL,100,3158,2022/6/1,3,800,,2
100-208-AA0930,PL,100,3158,2022/6/1,7,800,,2
100-208-AA0930,PL,100,3158,2022/6/1,8,800,,2
100-208-AA0930,PL,100,3861,2018/4/25,0,700,,2
100-208-AA0930,PL,100,9999,2000/1/1,0,700,,2
100-208-AA1081,PL,100,3158,2023/1/5,3,880,,2
100-208-AA1081,PL,100,3158,2023/1/5,4,880,,2
100-208-AA1081,PL,100,3158,2023/1/5,9,880,,2
100-208-AA1081,PL,100,3158,2023/1/5,10,720,,2
100-208-AA1081,PL,100,3158,2023/1/5,5,880,,2
100-208-AA1081,PL,100,3158,2023/1/5,8,880,,2
100-208-AA1081,PL,100,3158,2023/1/5,7,880,,2
100-208-AA1081,PL,100,3158,2023/1/5,6,880,,2
100-208-AA1081,PL,100,3158,2022/8/8,10,650,,2
100-208-AA1081,PL,100,3158,2022/6/1,7,800,,2
100-208-AA1081,PL,100,3158,2022/6/1,9,800,,2
100-208-AA1081,PL,100,3158,2022/6/1,8,800,,2
100-208-AA1081,PL,100,3158,2022/6/1,6,800,,2
100-208-AA1081,PL,100,3158,2022/6/1,5,800,,2
100-208-AA1081,PL,100,3158,2022/6/1,4,800,,2
100-208-AA1081,PL,100,3158,2022/6/1,3,800,,2
100-208-AA1081,PL,100,3861,2018/6/6,0,700,,2
100-208-AA1081,PL,100,9999,2000/1/1,0,700,,2
100-208-AA1150,PL,100,3861,2019/6/4,0,700,,2
100-208-AA1150,PL,100,9999,2000/1/1,0,700,,2
100-208-AA1240,PL,100,3861,2018/9/6,0,700,,2
100-208-AA1240,PL,100,9999,2000/1/1,0,700,,2
100-208-AA1333,PL,100,3861,2018/1/24,0,700,,2
100-208-AA1333,PL,100,9999,2000/1/1,0,700,,2
100-208-AA1531,PL,100,3861,2018/1/24,0,700,,2
100-208-AA1531,PL,100,9999,2000/1/1,0,700,,2
100-208-AA1680,PL,100,3861,2018/4/25,0,700,,2
100-208-AA1680,PL,100,9999,2000/1/1,0,700,,2
100-208-AA2200,PL,100,3861,2020/4/30,0,1200,,2
100-208-AA2200,PL,100,9999,2000/1/1,0,1200,,2
100-208-AA2300,PL,100,3861,2021/3/22,0,1500,,2
100-208-AA2300,PL,100,9999,2000/1/1,0,1500,,2
100-208-AA2350,PL,100,3861,2019/4/18,0,2000,,2
100-208-AA2350,PL,100,9999,2000/1/1,0,2000,,2
100-208-AA2500,PL,100,3861,2019/11/25,0,2000,,2
100-208-AA2500,PL,100,9999,2000/1/1,0,2000,,2
100-220QA1150,AO,100,3994,2016/3/8,0,1832,,2
100-220QA1240,AO,100,3994,2016/3/8,0,1832,,2
100-220QB1150,AO,100,3994,2016/3/8,0,1832,,2
100-220QB1240,AO,100,3994,2016/3/8,0,1661,,2
100-220TA0700,AO,100,3994,2023/11/1,0,5299,,2
100-220TA0700,AO,100,3994,2017/12/21,0,5286,,2
100-220TA0700,AO,100,9999,2000/1/1,0,5286,,2
100-220TB0700,AO,100,3994,2023/11/1,0,4199,,2
100-220TB0700,AO,100,3994,2017/12/21,0,4186,,2
100-220TB0700,AO,100,9999,2000/1/1,0,4186,,2
100-226,L2,100,3994,2016/2/26,0,539,,2
100-226,L2,100,9999,2000/1/1,0,539,,2
100-226,PA,100,3994,2016/4/1,0,189,,2
100-226,PA,100,9999,2000/1/1,0,189,,2
100-226BA,L2,100,3994,2016/2/26,0,539,,2
100-226BA,L2,100,9999,2000/1/1,0,539,,2
100-226BB,L2,100,3994,2019/7/1,0,6500,,2
100-226BB,L2,100,9999,2000/1/1,0,6500,,2
100-226BB,PA,100,3994,2019/7/1,0,189,,2
100-226BB,PA,100,9999,2000/1/1,0,189,,2
100-226DA,L,100,3994,2016/3/30,0,8110,,2
100-226DA,L,100,9999,2000/1/1,0,8110,,2
100-236AB,TH,100,3052,2016/2/26,0,5995,,2
100-236AB,TH,100,9999,2000/1/1,0,5995,,2
100-271EA,PL,100,3982,2016/3/8,0,52.8,,2
100-271LA,PA,100,1515,2022/8/25,0,15,,2
100-271LA,PA,100,1515,2016/3/24,0,0,,2
100-276B,L,100,3990,2021/7/21,5,6500,,2
100-276B,L,100,9999,2000/1/1,0,6500,,2
100-303AA071288N,PA,100,1515,2022/8/24,0,2657,,2
100-303AA071288N,PA,100,1515,2019/1/16,0,2642,,2
100-303AA071288N,PA,100,1515,2019/1/16,10,224,,2
100-303AA071288N,PA,100,9999,2000/1/1,0,2642,,2
100-303AA080288N,PA,100,1515,2022/8/24,0,215,,2
100-303AA080288N,PA,100,1515,2013/6/1,0,200,,2
100-303AA080288N,PA,100,9999,2000/1/1,0,215,,2
100-303AA0803810N,PA,100,1515,2022/8/24,0,215,,2
100-303AA0803810N,PA,100,1515,2013/6/1,0,200,,2
100-303AA0803810N,PA,100,9999,2000/1/1,0,215,,2
100-303AA090288N,PA,100,1515,2022/8/24,0,315,,2
100-303AA090288N,PA,100,1515,2013/6/1,0,300,,2
100-303AA090288N,PA,100,9999,2000/1/1,0,315,,2
100-303AA0903810N,PA,100,1515,2022/8/24,0,315,,2
100-303AA0903810N,PA,100,1515,2013/6/1,0,300,,2
100-303AA0903810N,PA,100,9999,2000/1/1,0,315,,2
100-303AA100288N,PA,100,1515,2022/8/24,0,215,,2
100-303AA100288N,PA,100,1515,2013/6/1,0,200,,2
100-303AA100288N,PA,100,9999,2000/1/1,0,215,,2
100-303AA1003810N,PA,100,1515,2022/8/24,0,315,,2
100-303AA1003810N,PA,100,1515,2013/6/1,0,300,,2
100-303AA1003810N,PA,100,9999,2000/1/1,0,315,,2
100-303AA112288N,PA,100,1515,2022/8/24,0,315,,2
100-303AA112288N,PA,100,1515,2013/6/1,0,300,,2
100-303AA112288N,PA,100,9999,2000/1/1,0,315,,2
