order_no,item_code,item_name,quantity,status,purch_odr_typ,delivery_date,前工程
E8878179,L1-12Q-411BA31,NEEDLE DIAL HUB,5.0,2,1,2025-11-11,L1-12Q-411BA31
E8878182,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-11-18,LA-161-406DE31-D
E8878183,L1-161-406DE31,GEAR RING,5.0,2,1,2025-11-11,L1-161-406DE31
E8878185,L1-954-50230,CAM HOLDER,2.0,2,1,2025-11-04,L1-954-50230
E8878188,L1-165-601AB30,DIAL CAP HUB,5.0,2,1,2025-11-11,L1-165-601AB30
E8878190,L1-474-502AA30,CAM HOLDER,5.0,2,1,2025-11-11,L1-474-502AA30
E8878193,L1-101-440BB30,TOP GEAR,5.0,2,1,2025-11-14,L1-101-440BB30
E8878195,L1-12Q-411BA31,NEEDLE DIAL HUB,5.0,2,1,2025-11-14,L1-12Q-411BA31
E8878198,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-11-21,LA-161-406DE31-D
E8878199,L1-161-406DE31,GEAR RING,5.0,2,1,2025-11-14,L1-161-406DE31
E8878201,L1-474-502AA30,CAM HOLDER,5.0,2,1,2025-11-14,L1-474-502AA30
E8878204,L1-165-601AB30,DIAL CAP HUB,5.0,2,1,2025-11-14,L1-165-601AB30
E8878207,MC-101-440BB38,TOP GEAR,2.0,2,1,2025-11-07,MC-101-440BB38
E8878208,L1-101-440BB38,TOP GEAR,2.0,2,1,2025-10-23,L1-101-440BB38
E8878215,L1-1551-401AB30,BED,1.0,2,1,2025-10-23,L1-1551-401AB30
E8878217,MC-161-402CA30,DIAL YOKE   (MC),1.0,2,1,2025-11-07,MC-161-402CA30
E8878218,L1-161-402CA30,DIAL YOKE,1.0,2,1,2025-10-23,L1-161-402CA30
E8878220,MC-161-402CA38,DIAL YOKE   (MC),3.0,2,1,2025-11-07,MC-161-402CA38
E8878221,L1-161-402CA38,DIAL YOKE,3.0,2,1,2025-10-23,L1-161-402CA38
E8878223,MC-161-403CA30,DIAL YOKE RING (MC),1.0,2,1,2025-11-07,MC-161-403CA30
E8878224,L1-161-403CA30,DIAL YOKE RING,1.0,2,1,2025-10-23,L1-161-403CA30
E8878226,MC-161-403CA38,DIAL YOKE RING (MC),3.0,2,1,2025-11-07,MC-161-403CA38
E8878227,L1-161-403CA38,DIAL YOKE RING,3.0,2,1,2025-10-23,L1-161-403CA38
E8878234,L1-161-501AA30,CAM RING,1.0,2,1,2025-10-23,L1-161-501AA30
E8878236,LA-161-501AA34-DF,CAM RING,2.0,2,1,2025-11-04,LA-161-501AA34-DF
E8878237,L1-161-501AA34,CAM RING,2.0,2,1,2025-10-23,L1-161-501AA34
E8878241,LA-5500-501EB34-DF,CAM RING B,1.0,2,1,2025-11-04,LA-5500-501EB34-DF
E8878242,L1-5500-501EB34,CAM RING B,1.0,2,1,2025-10-23,L1-5500-501EB34
E8878248,L1-1551-401AB30,BED,5.0,2,1,2025-10-27,L1-1551-401AB30
E8878250,MC-161-402CA30,DIAL YOKE   (MC),5.0,2,1,2025-11-11,MC-161-402CA30
E8878251,L1-161-402CA30,DIAL YOKE,5.0,2,1,2025-10-27,L1-161-402CA30
E8878253,MC-161-403CA30,DIAL YOKE RING (MC),5.0,2,1,2025-11-11,MC-161-403CA30
E8878254,L1-161-403CA30,DIAL YOKE RING,5.0,2,1,2025-10-27,L1-161-403CA30
E8878258,L1-1635-401AA38,BED,1.0,2,1,2025-10-27,L1-1635-401AA38
E8878265,L1-171-406RA34,GEAR RING,1.0,2,1,2025-10-27,L1-171-406RA34
E8878268,L1-161-501AA30,CAM RING,5.0,2,1,2025-10-27,L1-161-501AA30
E8878275,L1-1551-401AB30,BED,5.0,2,1,2025-10-30,L1-1551-401AB30
E8878277,MC-161-402CA30,DIAL YOKE   (MC),5.0,2,1,2025-11-14,MC-161-402CA30
