OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG
274-405AB180,1,1,1,1,L-335-405AA18-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
274-405BA340,1,1,1,1,L-335-405AA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
3145-410AA340,1,1,1,1,L2-970-41034-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
3145-410BA340,1,1,1,1,L2-970-41034-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
335-405BA340,1,1,1,1,L-335-405AA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
335-409EA360,1,1,1,1,L-478-409BA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
3504-409AA260,1,1,1,1,L-3504-409AA26-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
355-409300,1,1,1,1,L-355-40930-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
478-409FA330,1,1,1,1,L-478-409BA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
478-409MA330,1,1,1,1,L-478-409BA33-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
478-409NA300,1,1,1,1,L-79-409B30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
478-409NA340,1,1,1,1,L-478-409AA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5121-405AA420,1,1,1,1,L-5121-405AA42-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5121-405BA440,1,1,1,1,L-328-405AA44-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5121-405BA480,1,1,1,1,L-328-405AA48-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5121-409AA420,1,1,1,1,L-339-409AA42-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5121-409EA440,1,1,1,1,L-329-409AA44-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5121-409EA480,1,1,1,1,L-329-409AA48-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5156-405AA070,1,1,1,1,L-5156-405AA07-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5156-409AA070,1,1,1,1,L-5156-409AA07-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5163-405BA360,1,1,1,1,L-5163-40536-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
