ç´ïÔäJénì˙,î≠çsì˙,ëgóßäJénì˙,ê∂éYåééü,ì`ï[ÇmÇè,â¡çHïîî‘,ïîïiñº,ïKóvêî,ñ¢à¯ìñç›å…êî,éËéùÇøç›å…êî,ìæà”êÊíçï∂î‘çÜ,èoå…çœêî
2026/04/03,2026/02/03,2026/03/24,2026042,E000100228,3164-515AA34,GATE CAM A,12,0,0,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100525,3164-515AA34,GATE CAM A,8,0,0,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100533,3164-515AA34,GATE CAM A,8,0,0,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099570,3164-515AA40,GATE CAM A,12,0,25,,12
2026/02/24,2026/02/03,2026/02/06,2026027,E000099259,3164-515AA42,GATE CAM A,4,3,3,,0
2026/02/02,2026/02/03,2026/01/19,2026021,E000098967,3164-515AB30,GATE CAM A,8,0,0,,8
2026/03/19,2026/02/03,2026/03/09,2026036,E000099774,3164-515AB30,GATE CAM A,16,0,0,,16
2026/03/25,2026/02/03,2026/03/12,2026037,E000099799,3164-515AB30,GATE CAM A,24,0,0,,24
2026/04/08,2026/02/03,2026/03/27,2026043,E000100348,3164-515AB30,GATE CAM A,12,0,0,,0
2026/02/26,2026/02/03,2026/02/10,2026028,E000099355,3164-515BA26,GATE CAM B,28,20,20,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099105,3164-515BA32,GATE CAM B,12,0,43,,12
2026/02/10,2026/02/03,2026/02/10,,E000099363,3164-515BA32,GATE CAM B,2,2,43,PM-5171205,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099819,3164-515BA32,GATE CAM B,12,0,43,,12
2026/02/17,2026/02/03,2026/02/02,2026025,E000099339,3164-515BA34,GATE CAM B,20,20,29,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099347,3164-515BA34,GATE CAM B,16,9,9,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000100229,3164-515BA34,GATE CAM B,12,0,0,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100526,3164-515BA34,GATE CAM B,8,0,0,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100534,3164-515BA34,GATE CAM B,8,0,0,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099571,3164-515BA40,GATE CAM B,12,0,33,,12
2026/02/24,2026/02/03,2026/02/06,2026027,E000099260,3164-515BA42,GATE CAM B,4,2,2,,0
2026/02/02,2026/02/03,2026/01/19,2026021,E000098968,3164-515BB30,GATE CAM B,8,0,0,,8
2026/03/19,2026/02/03,2026/03/09,2026036,E000099775,3164-515BB30,GATE CAM B,16,0,0,,16
2026/03/25,2026/02/03,2026/03/12,2026037,E000099800,3164-515BB30,GATE CAM B,24,0,0,,24
2026/04/08,2026/02/03,2026/03/27,2026043,E000100349,3164-515BB30,GATE CAM B,12,0,0,,0
2026/02/06,2026/02/03,2026/02/06,,E000099097,3164-521AA30,KNIT CAM,192,192,207,PM-5167105,
2026/02/26,2026/02/03,2026/02/10,2026028,E000099356,3164-611AA26,SINKER CAM,595,23,23,,0
2026/02/02,2026/02/03,2026/01/19,2026021,E000098969,3164-611AA30,SINKER CAM,194,0,205,,194
2026/02/06,2026/02/03,2026/02/06,,E000099095,3164-611AA30,SINKER CAM,96,96,205,PM-5167103,
2026/03/19,2026/02/03,2026/03/09,2026036,E000099776,3164-611AA30,SINKER CAM,388,109,109,,0
2026/03/25,2026/02/03,2026/03/12,2026037,E000099801,3164-611AA30,SINKER CAM,582,0,0,,0
2026/04/08,2026/02/03,2026/03/27,2026043,E000100350,3164-611AA30,SINKER CAM,291,0,0,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099106,3164-611AA32,SINKER CAM,315,0,85,,315
2026/03/27,2026/02/03,2026/03/16,2026038,E000099820,3164-611AA32,SINKER CAM,159,85,85,,0
2026/02/17,2026/02/03,2026/02/02,2026025,E000099340,3164-611AA34,SINKER CAM,545,545,675,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099348,3164-611AA34,SINKER CAM,436,130,130,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000100230,3164-611AA34,SINKER CAM,327,0,0,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100527,3164-611AA34,SINKER CAM,218,0,0,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100535,3164-611AA34,SINKER CAM,218,0,0,,0
