FINAL_ITEM_CODE,PROCESS_ORDER,PROCESS_CODE,RES_CODE1,CAPACITY1,INF_CHANGE1,RES_CODE2,CAPACITY2,INF_CHANGE2,RES_CODE3,CAPACITY3,INF_CHANGE3,VERSION,OPE_NAME,UP_DATE,CHK_VAL_FLG
1751-402BA12,4,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA17,1,B,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA17,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA17,3,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA17,4,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA24,1,B,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA24,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA24,3,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA24,4,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-404AB,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-404BA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-443AA17,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-443AA24,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-443BA17,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DA30,1,LM,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DA3036,1,L,006,1,0,,,,,,,3,森友　宏幸,2025-05-15,0
1831-501DA3036,2,MC,002,1,0,,,,,,,3,森友　宏幸,2025-05-15,0
1831-501DA32,1,LM,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DA34,1,LM,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DB30,1,L,006,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DB30,2,MC,002,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DB32,1,L,006,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DB32,2,MC,002,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DB34,1,L,006,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DB34,2,MC,002,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DB34,1,LM,000,1,0,,,,,,,4,森友　宏幸,2025-05-15,0
1831-501DB36,1,LM,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DB36,1,L,006,1,0,,,,,,,3,森友　宏幸,2025-05-15,0
1831-501DB36,2,MC,002,1,0,,,,,,,3,森友　宏幸,2025-05-15,0
1831-501DB38,1,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DB38,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DB38,3,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DC38,1,L,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DC38,2,L,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DC38,3,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1831-501DC40,1,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DC40,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1831-501DC40,3,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1931-102AA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1931-102AC,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1931-102BC,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1931-103AA30,1,GAI,000,1,0,,,,,,,2,初崎　和広,2025-08-26,0
1931-111BA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1931-111BB,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
19B-406ZA17,1,MC,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
19B-406ZA17,2,L,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
19B-406ZA17,3,L,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
19B-406ZA17,4,TH,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
2185-210AA,1,MCW,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
2185-210BA,1,MCW,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
2185-211AA,1,MCW,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
2185-211BA,1,MCW,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
2185-233AA,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
2185-233AB,1,MCW,015,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
2185-236AA,1,MCT,015,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
2190-210AA,1,MCW,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
2190-210AB,1,MCW,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
2190-211AA,1,MCW,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
2190-211AB,1,MCW,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
21A2-111AA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
21A2-211AA,1,MCW,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
3153-601EB34,1,MCW,007,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
3153-601FA28,1,MCW,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3153-601FA30,1,MC,007,1,0,,,,,,,3,初崎　和広,2024-03-07,0
3153-601FA30,2,MC,007,1,0,,,,,,,3,初崎　和広,2024-03-07,0
3153-601FA30,3,B,007,1,0,,,,,,,3,初崎　和広,2024-03-07,0
3154-405AA12,1,B,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-405AA12,2,G,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-405AA12,3,L,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-405AA20,1,B,000,1,0,,,,,,,2,初崎　和広,2024-03-07,0
3154-405AA20,2,G,000,1,0,,,,,,,2,初崎　和広,2024-03-07,0
3154-405AA20,3,L,000,1,0,,,,,,,2,初崎　和広,2024-03-07,0
3154-405AA20,4,G,000,1,0,,,,,,,2,初崎　和広,2024-03-07,0
3154-405AA21,1,B,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-405AA21,2,G,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-405AA21,3,L,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-405AA21,4,G,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-502AA,1,MC,000,1,0,,,,,,,1,初崎　和広,2024-03-07,0
3154-502BA,1,MC,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-502CA,1,MC,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-502DA,1,MC,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3154-502FA,1,MC,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3164-601EA30,1,MC,007,1,0,,,,,,,4,初崎　和広,2024-03-07,0
3164-601EA30,2,MC,007,1,0,,,,,,,4,初崎　和広,2024-03-07,0
3164-601EA34,1,MC,007,1,0,,,,,,,2,初崎　和広,2024-03-07,0
3164-601EA34,2,MC,007,1,0,,,,,,,2,初崎　和広,2024-03-07,0
3164-608AA36,1,LM,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3164-652AA34,1,L,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3164-652AA34,2,G,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3164-652AA34,3,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3166-502CA,1,MC,000,1,0,,,,,,,1,初崎　和広,2024-03-07,0
3166-502DA,1,MC,000,1,0,,,,,,,1,初崎　和広,2024-03-07,0
3166-502FA,1,MC,000,1,0,,,,,,,1,初崎　和広,2024-03-07,0
3538-652AA34,1,LM,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
3558-666AA34,1,B,000,1,0,,,,,,,1,初崎　和広,2025-05-28,0
3558-666AA34,2,L,000,1,0,,,,,,,1,初崎　和広,2025-05-28,0
3558-666AA34,3,G,000,1,0,,,,,,,1,初崎　和広,2025-05-28,0
3558-666AA34,4,MC,000,1,0,,,,,,,1,初崎　和広,2025-05-28,0
3650-432AA30,1,B,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
3650-432AA30,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
3650-432AA30,3,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
3650-432AA30,4,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
4305-502DA,1,MC,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
4305-502FA,1,MC,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
4305-502HA,1,MC,007,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
474-602CC34,1,MCT,002,1,0,,,,,,,2,初崎　和広,2024-03-07,0
474-641AC38,1,L,005,1,0,,,,,,,2,初崎　和広,2024-03-07,0
474-641AC38,2,G,005,1,0,,,,,,,2,初崎　和広,2024-03-07,0
474-641AC38,3,MC,005,1,0,,,,,,,2,初崎　和広,2024-03-07,0
478-602AC30,1,MCW,002,1,0,,,,,,,3,初崎　和広,2024-03-07,0
478-602AC33,1,MCT,002,1,0,,,,,,,2,初崎　和広,2024-03-07,0
478-602EC34,1,MCT,002,1,0,,,,,,,4,初崎　和広,2024-03-07,0
479-602AB33,1,MCW,000,1,0,,,,,,,2,初崎　和広,2021-03-15,0
479-602AB33,1,MCW,003,1,0,,,,,,,5,初崎　和広,2024-03-07,0
479-602AB38,1,MCT,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
479-602AB38,1,MCW,002,1,0,,,,,,,3,初崎　和広,2024-03-07,0
479-602EB38,1,MCT,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
5128-602AB33,1,MCW,002,1,0,,,,,,,4,初崎　和広,2024-03-07,0
